,weight,total_income,pitax,table_row
64926,20.96207025411061,0.0,0.0,1
64909,20.96207025411061,0.0,0.0,1
16693,20.96207025411061,0.0,0.0,1
568,20.96207025411061,0.0,0.0,1
29087,20.96207025411061,0.0,0.0,1
57352,20.96207025411061,0.0,0.0,1
85226,20.96207025411061,0.0,0.0,1
6606,20.96207025411061,0.0,0.0,1
35501,20.96207025411061,0.0,0.0,1
79852,20.96207025411061,0.0,0.0,1
70667,20.96207025411061,0.0,0.0,1
9749,20.96207025411061,0.0,0.0,1
9747,20.96207025411061,0.0,0.0,1
6594,20.96207025411061,0.0,0.0,1
39580,20.96207025411061,0.0,0.0,1
67339,20.96207025411061,0.0,0.0,1
46143,20.96207025411061,0.0,0.0,1
16705,20.96207025411061,0.0,0.0,1
98410,20.96207025411061,0.0,0.0,1
54990,20.96207025411061,0.0,0.0,1
99707,20.96207025411061,0.0,0.0,1
99704,20.96207025411061,0.0,0.0,1
28377,20.96207025411061,0.0,0.0,1
70276,20.96207025411061,0.0,0.0,1
73550,20.96207025411061,0.0,0.0,1
85237,20.96207025411061,0.0,0.0,1
97104,20.96207025411061,0.0,0.0,1
48369,20.96207025411061,0.0,0.0,1
56620,20.96207025411061,0.0,0.0,1
56618,20.96207025411061,0.0,0.0,1
95701,20.96207025411061,0.0,0.0,1
6555,20.96207025411061,0.0,0.0,1
9828,20.96207025411061,0.0,0.0,1
45527,20.96207025411061,0.0,0.0,1
64111,20.96207025411061,0.0,0.0,1
69225,20.96207025411061,0.0,0.0,1
76268,20.96207025411061,0.0,0.0,1
69534,20.96207025411061,0.0,0.0,1
604,20.96207025411061,0.0,0.0,1
75956,20.96207025411061,0.0,0.0,1
40368,20.96207025411061,0.0,0.0,1
64110,20.96207025411061,0.0,0.0,1
64106,20.96207025411061,0.0,0.0,1
35505,20.96207025411061,0.0,0.0,1
84313,20.96207025411061,0.0,0.0,1
47869,20.96207025411061,0.0,0.0,1
67347,20.96207025411061,0.0,0.0,1
53652,20.96207025411061,0.0,0.0,1
88377,20.96207025411061,0.0,0.0,1
