id_n,Year,income_wage_l,income_dividends_c,income_interest_c,total_gross_income,pitax_w,pitax_c,pitax
88576,2018,175568,0,0,175568,17557,0,17557
85262,2018,492876,60557460,0,61050336,49288,6055746,6105034
92347,2018,1574585,0,0,1574585,197025,0,197025
78969,2018,495978,0,0,495978,49598,0,49598
137015,2018,0,7028277,443960,7472237,0,747224,747224
119062,2018,1785930,0,0,1785930,235067,0,235067
130387,2018,1377574,0,0,1377574,161563,0,161563
113591,2018,87184,0,0,87184,8718,0,8718
152735,2018,1756742,0,0,1756742,229814,0,229814
154070,2018,1829184,0,0,1829184,242853,0,242853
152197,2018,0,0,0,0,0,0,0
83818,2018,712473,0,0,712473,71247,0,71247
125034,2018,0,0,0,0,0,0,0
145657,2018,967698,0,0,967698,96770,0,96770
149995,2018,696000,0,0,696000,69600,0,69600
136279,2018,1458667,0,0,1458667,176160,0,176160
125522,2018,0,0,0,0,0,0,0
82296,2018,1385469,0,0,1385469,162984,0,162984
152426,2018,2316396,0,0,2316396,330551,0,330551
120500,2018,1680560,0,0,1680560,216101,0,216101
153787,2018,2677853,748578,0,3426431,395614,74858,470471
94047,2018,228978,0,0,228978,22898,0,22898
90153,2018,647880,9817454,0,10465334,64788,981745,1046533
151987,2018,1738266,2700,0,1740966,226488,270,226758
135632,2018,1920650,0,0,1920650,259317,0,259317
102793,2018,871040,0,0,871040,87104,0,87104
144757,2018,1747393,0,0,1747393,228131,0,228131
111043,2018,1264788,3419410,0,4684198,141262,341941,483203
95510,2018,716856,0,0,716856,71686,0,71686
133156,2018,1516968,0,0,1516968,186654,0,186654
107405,2018,1431768,3240,0,1435008,171318,324,171642
96332,2018,3344528,0,0,3344528,515615,0,515615
93819,2018,1161493,0,0,1161493,122669,0,122669
132909,2018,1789815,0,0,1789815,235767,0,235767
150177,2018,2543328,6888889,0,9432217,371399,688889,1060288
89431,2018,140274,0,0,140274,14027,0,14027
144681,2018,684386,8670834,0,9355220,68439,867083,935522
92518,2018,1469548,0,0,1469548,178119,0,178119
108459,2018,1648944,0,0,1648944,210410,0,210410
81211,2018,452064,0,0,452064,45206,0,45206
153576,2018,207000,429024,0,636024,20700,42902,63602
81344,2018,722040,0,0,722040,72204,0,72204
118323,2018,1485817,0,0,1485817,181047,0,181047
113404,2018,173455,0,0,173455,17346,0,17346
126982,2018,0,20964934,0,20964934,0,2096493,2096493
116384,2018,0,0,0,0,0,0,0
122071,2018,172710,0,0,172710,17271,0,17271
137106,2018,101221,0,0,101221,10122,0,10122
96849,2018,5664657,0,0,5664657,933238,0,933238
104959,2018,430547,0,0,430547,43055,0,43055
111276,2018,91685,10679,0,102364,9168,1068,10236
118189,2018,207252,0,0,207252,20725,0,20725
92947,2018,260232,666667,0,926899,26023,66667,92690
152422,2018,1630068,12991668,0,14621736,207012,1299167,1506179
126224,2018,0,624,0,624,0,62,62
137017,2018,889125,0,0,889125,88912,0,88912
144050,2018,854433,0,0,854433,85443,0,85443
115398,2018,1925772,0,0,1925772,260239,0,260239
128538,2018,1585765,0,0,1585765,199038,0,199038
125769,2018,1316823,17783223,0,19100046,150628,1778322,1928950
79121,2018,2052417,0,0,2052417,283035,0,283035
86202,2018,1566614,0,0,1566614,195591,0,195591
101953,2018,1683783,0,0,1683783,216681,0,216681
109839,2018,1082268,0,0,1082268,108408,0,108408
131090,2018,4441302,376650,0,4817952,713034,37665,750699
127164,2018,0,4305637,0,4305637,0,430564,430564
129595,2018,1297306,91324,0,1388630,147115,9132,156247
153679,2018,5553184,0,0,5553184,913173,0,913173
132729,2018,2424167,0,0,2424167,349950,0,349950
152243,2018,953056,0,0,953056,95306,0,95306
95917,2018,1090747,0,0,1090747,109934,0,109934
83840,2018,1348974,0,0,1348974,156415,0,156415
116061,2018,0,0,0,0,0,0,0
129021,2018,1118664,0,0,1118664,114960,0,114960
154545,2018,0,0,0,0,0,0,0
98162,2018,211516,0,0,211516,21152,0,21152
84811,2018,2983941,0,0,2983941,450709,0,450709
89625,2018,0,0,0,0,0,0,0
144634,2018,208482,0,0,208482,20848,0,20848
149206,2018,691598,0,0,691598,69160,0,69160
114070,2018,2139650,57340,0,2196990,298737,5734,304471
151541,2018,2122390,0,0,2122390,295630,0,295630
106576,2018,1143197,40540,0,1183737,119375,4054,123429
152795,2018,716856,3378489,0,4095345,71686,337849,409534
109539,2018,0,4888888,276603,5165491,0,516549,516549
135442,2018,534204,1228188,0,1762392,53420,122819,176239
108715,2018,686020,0,0,686020,68602,0,68602
94082,2018,3558699,0,0,3558699,554166,0,554166
128531,2018,3060571,0,0,3060571,464503,0,464503
144789,2018,207000,0,0,207000,20700,0,20700
134508,2018,1826490,720000,0,2546490,242368,72000,314368
123426,2018,1617881,269190,0,1887071,204819,26919,231738
84608,2018,427472,944435,0,1371907,42747,94444,137191
104396,2018,1673075,0,0,1673075,214754,0,214754
78734,2018,902090,0,0,902090,90209,0,90209
113567,2018,1500936,0,0,1500936,183768,0,183768
118951,2018,1514237,0,0,1514237,186163,0,186163
150656,2018,838161,9264960,0,10103121,83816,926496,1010312
89003,2018,1523758,0,0,1523758,187876,0,187876
93171,2018,1032168,0,0,1032168,103217,0,103217
103784,2018,962451,0,0,962451,96245,0,96245
139543,2018,158390,0,0,158390,15839,0,15839
83309,2018,242364,1997582,0,2239946,24236,199758,223995
119242,2018,0,0,0,0,0,0,0
129916,2018,592414,0,0,592414,59241,0,59241
96403,2018,1623632,13744,0,1637376,205854,1374,207228
103207,2018,551661,1378442,0,1930103,55166,137844,193010
144628,2018,944938,5400,0,950338,94494,540,95034
104590,2018,0,30000000,0,30000000,0,3000000,3000000
