,id_n,Year,ADJST_TAXABLE_INCOME_M_9
406,26415,2024,22626845.0
407,26432,2024,0.0
408,26527,2024,486833.0
409,26587,2024,766971.0
410,26636,2024,1794490.55
411,26652,2024,19091904.65
412,26698,2024,0.0
413,26737,2024,0.0
414,26757,2024,10118323.85
415,26882,2024,26237732.0
416,26968,2024,4188693.87
417,27023,2024,3063639.0
418,27223,2024,11255205.0
419,27241,2024,0.0
420,27294,2024,139792.0
421,27324,2024,0.0
422,27537,2024,0.0
423,27542,2024,0.0
424,27563,2024,29411833.25
425,27615,2024,98119.0
426,27639,2024,159433176.0
427,27666,2024,448102286.67
428,27726,2024,63998209.35
429,27813,2024,1228463673.4
430,27837,2024,0.0
431,27846,2024,1142308.0
432,27926,2024,0.0
433,27955,2024,9795470.8
434,27960,2024,0.0
435,27997,2024,0.0
436,28183,2024,179316.26
437,28398,2024,17590.0
438,28496,2024,727164.33
439,28595,2024,776563333.65
440,28615,2024,0.0
441,28649,2024,2077942.0
442,28816,2024,13056737.0
443,28867,2024,17514124.0
444,29025,2024,0.0
445,29051,2024,792740.0
446,29074,2024,12572552.17
447,29135,2024,1.0
448,29247,2024,238576703.0
449,29256,2024,0.0
450,29522,2024,2362408.2
451,29642,2024,895426573.33
452,29750,2024,543489.0
453,29817,2024,0.0
454,29887,2024,91141.0
455,29999,2024,0.0
456,30057,2024,4076622.0
457,30384,2024,2224876.25
458,30493,2024,2133313.0
459,30539,2024,12100892.65
460,30591,2024,79904813.12
461,30769,2024,21932590.0
462,30971,2024,0.0
463,31117,2024,0.0
464,31128,2024,50371.0
465,31202,2024,10002113.45
466,31334,2024,119006804.0
467,31447,2024,210063.4
468,31481,2024,812682.0
469,31641,2024,0.0
470,31671,2024,45866439.54
471,31911,2024,1529644.0
472,31936,2024,72839725.0
473,31982,2024,0.0
474,32273,2024,0.0
475,32357,2024,0.0
476,32360,2024,40606774.0
477,32416,2024,53867.0
478,32458,2024,0.0
479,32521,2024,0.0
480,32624,2024,0.0
481,32627,2024,0.0
482,32645,2024,0.0
483,32660,2024,420302873.0
484,32776,2024,1733379.0
485,32802,2024,51402.9
486,32852,2024,614698.0
487,32882,2024,342574289.91
488,32906,2024,3124236.0
489,33045,2024,25410228.0
490,33120,2024,14058274.0
491,33150,2024,0.0
492,33324,2024,0.0
493,33392,2024,0.0
494,33567,2024,1220386.29
495,33849,2024,3441907.0
496,33894,2024,23272711.14
497,33937,2024,14334084.08
498,34138,2024,203529.0
499,34207,2024,53906496.0
500,34250,2024,0.0
501,34278,2024,0.0
502,34304,2024,10288187.55
503,34317,2024,0.0
504,34341,2024,0.0
505,34413,2024,0.0
506,34605,2024,0.0
507,34642,2024,4218.7
508,34703,2024,0.0
509,35005,2024,1.0
510,35344,2024,703258.8
511,35356,2024,188248005.12
512,35363,2024,1002386.0
513,35424,2024,0.0
514,35508,2024,0.0
515,35531,2024,0.0
516,35542,2024,11059943.0
517,35591,2024,0.0
518,35638,2024,348000.0
519,35640,2024,0.0
520,35652,2024,337996.5
521,35842,2024,518129.7
522,36206,2024,88282556.05
523,36376,2024,814070.05
524,36683,2024,0.0
525,36951,2024,12008.0
526,37079,2024,0.0
527,37324,2024,0.0
528,37345,2024,1639345.0
529,37393,2024,64285.0
530,37607,2024,108481870.0
531,37791,2024,81672426.0
532,37808,2024,10480.0
533,37865,2024,42454911.0
534,37904,2024,441053.63
535,37915,2024,0.0
536,37969,2024,0.0
537,37973,2024,43108052.0
538,38030,2024,4447692.0
539,38237,2024,47869.8
540,38329,2024,4241328.3
541,38345,2024,0.0
542,38433,2024,0.0
543,38656,2024,0.0
544,38867,2024,0.0
545,38909,2024,32000.0
546,38940,2024,15229786.0
547,39102,2024,30915.75
548,39207,2024,0.0
549,39254,2024,0.0
550,39399,2024,487400.0
551,39558,2024,5365851.0
552,39640,2024,0.0
553,39732,2024,2300609.0
554,39798,2024,863607909.1
555,39847,2024,538714495.0
556,39858,2024,34384132.6
557,39895,2024,0.0
558,39934,2024,2670958730.0
559,40150,2024,3647365.0
560,40321,2024,7634120.8
561,40565,2024,26764641.0
562,40572,2024,24053.0
563,40602,2024,0.0
564,40612,2024,0.0
565,40713,2024,93000.0
566,40774,2024,0.0
567,40824,2024,17827.0
568,40896,2024,5509.09
569,41380,2024,34675613.32
570,41399,2024,91001658.72
571,41426,2024,13105322.65
572,41430,2024,1412604304.0
573,41445,2024,0.0
574,41481,2024,1.0
575,41601,2024,51763380.0
576,41735,2024,1278173023.44
577,41770,2024,0.0
578,41848,2024,0.0
579,41903,2024,338035.0
580,42157,2024,1715152506.65
581,42340,2024,0.0
582,42358,2024,22395463.33
583,42563,2024,9248.0
584,42572,2024,0.0
585,42606,2024,2292838.0
586,42618,2024,0.0
587,42723,2024,967.0
588,42825,2024,91231007.86
589,42916,2024,1558754.0
590,42956,2024,301873.0
591,43022,2024,1308399.05
592,43319,2024,357308735.45
593,43320,2024,537564087.0
594,43370,2024,476220.59
595,43379,2024,0.0
596,43575,2024,7204.0
597,43658,2024,0.0
598,43670,2024,0.0
599,43697,2024,471461948.03
600,43736,2024,260857238.61
601,43738,2024,0.0
602,43772,2024,0.0
603,43944,2024,0.0
604,43970,2024,0.0
605,44180,2024,610538.0
606,44321,2024,1497403842.4
607,44353,2024,65986.0
608,44408,2024,0.0
609,44578,2024,72728913.1
610,44617,2024,0.0
611,44639,2024,0.0
612,44791,2024,2223651.0
613,45004,2024,30576429.4
614,45153,2024,141156.8
615,45167,2024,858052.0
616,45197,2024,52956.0
617,45208,2024,0.0
618,45551,2024,614599.0
619,45616,2024,426559.27
620,45627,2024,84952045.0
621,45665,2024,2231084.0
622,45874,2024,2071151.0
623,45955,2024,132378918.0
624,45967,2024,8238044.0
625,46145,2024,0.0
626,46159,2024,4818518.0
627,46185,2024,209695.5
628,46206,2024,834682256.0
629,46210,2024,7800.0
630,46265,2024,136258.0
631,46450,2024,0.0
632,46459,2024,871987.4
633,46487,2024,9739163.26
634,46488,2024,5026.67
635,46576,2024,1.0
636,46615,2024,13423.9
637,46707,2024,1192951.0
638,46731,2024,1025820.0
639,46839,2024,0.0
640,46850,2024,7642077.0
641,46886,2024,7939.0
642,47003,2024,0.0
643,47094,2024,161521.63
644,47097,2024,0.0
645,47126,2024,1259483.0
646,47254,2024,66403.0
647,47369,2024,2312473.0
648,47460,2024,1730987.0
649,47844,2024,233096.0
650,47858,2024,0.0
651,47866,2024,2847688.58
652,47885,2024,6694744.7
653,47893,2024,679813981.95
654,47909,2024,3482848973.34
655,48020,2024,951666.03
656,48029,2024,0.0
657,48033,2024,4572789.0
658,48392,2024,0.0
659,48435,2024,8065372.9
660,48497,2024,221581663.87
661,48556,2024,24164.0
662,48560,2024,1131150000.0
663,48774,2024,0.0
664,48855,2024,6415.0
665,48856,2024,3350447.5
666,48911,2024,0.0
667,49001,2024,3405.0
668,49162,2024,1173.0
669,49243,2024,54291797.0
670,49257,2024,8205473.4
671,49299,2024,1146379479.0
672,49462,2024,0.0
673,49622,2024,4546004.0
674,49659,2024,21657406.92
675,49887,2024,0.0
676,49996,2024,9696954.0
677,50012,2024,0.0
678,50018,2024,6280746.84
679,50020,2024,3599248.82
680,50059,2024,0.0
681,50164,2024,136925.55
682,50308,2024,50623.0
683,50417,2024,214073519.0
684,50535,2024,0.0
685,50538,2024,43276563.34
686,50663,2024,108359747.48
687,50716,2024,8195947.0
688,50729,2024,871800.0
689,50846,2024,0.0
690,50923,2024,27038956.0
691,50950,2024,0.0
692,50952,2024,0.0
693,51038,2024,1285720.15
694,51039,2024,886928.0
695,51053,2024,506037921.0
696,51054,2024,0.0
697,51069,2024,510167798.0
698,51104,2024,38326722.75
699,51125,2024,0.0
700,51254,2024,0.0
701,51311,2024,17044091.3
702,51356,2024,0.0
703,51465,2024,0.0
704,51473,2024,0.0
705,51518,2024,10845.0
706,51557,2024,10879831.0
707,51585,2024,7887567.55
708,51794,2024,27127014.0
709,51848,2024,23730691.0
710,51881,2024,1890071.0
711,51885,2024,11751492.0
712,51956,2024,43743.45
713,52055,2024,15441850.3
714,52057,2024,16420386680.07
715,52100,2024,0.0
716,52124,2024,1260674.0
717,52170,2024,80661748.0
718,52259,2024,0.0
719,52260,2024,1198562.0
720,52264,2024,1670381.8
721,52326,2024,128843365.0
722,52396,2024,89087923.16
723,52398,2024,5011277.0
724,52413,2024,857107.0
725,52441,2024,0.0
726,52464,2024,1855196.73
727,52523,2024,0.0
728,52537,2024,609508.7
729,52650,2024,2482543.75
730,52660,2024,8258840.0
731,52681,2024,16267323.0
732,52704,2024,1398637538.0
733,52846,2024,0.0
734,52849,2024,0.0
735,52864,2024,22599633.0
736,52883,2024,45085.0
737,53002,2024,23416.2
738,53071,2024,17190649.2
739,53076,2024,58736.0
740,53087,2024,0.0
741,53165,2024,0.0
742,53179,2024,0.0
743,53294,2024,272209266.65
744,53299,2024,19167.0
745,53415,2024,0.0
746,53491,2024,37917967.0
747,53524,2024,7065865.3
748,53550,2024,635129.3
749,53600,2024,0.0
750,53738,2024,467093.0
751,53744,2024,1131752.0
752,53868,2024,153507895.0
753,53899,2024,2405828.0
754,53906,2024,66458193.33
755,53968,2024,0.0
756,53995,2024,2468056.0
757,54008,2024,1010192.0
758,54086,2024,19994601.35
759,54130,2024,20.0
760,54167,2024,1006453.0
761,54220,2024,798918.5
762,54319,2024,0.0
763,54366,2024,20449384.0
764,54405,2024,0.0
765,54426,2024,13754059.15
766,54598,2024,287684216.68
767,54748,2024,1.0
768,54750,2024,0.0
769,54769,2024,5888.69
770,54775,2024,0.0
771,54873,2024,1562439.0
772,54896,2024,3252.0
773,54950,2024,663470.0
774,55000,2024,5786926.0
775,55114,2024,150381.0
776,55118,2024,10844090.9
777,55279,2024,0.0
778,55291,2024,0.0
779,55296,2024,0.0
780,55388,2024,0.0
781,55430,2024,0.0
782,55498,2024,824755.5
783,55643,2024,27348256.0
784,55690,2024,36467.18
785,55694,2024,1315435.0
786,55716,2024,2176557176.5
787,55843,2024,44328.0
788,55845,2024,195517.0
789,55853,2024,0.0
790,55906,2024,3755559.25
791,55908,2024,855023.3
792,55909,2024,0.0
793,55975,2024,3025961.0
794,55976,2024,2408054.0
795,55993,2024,2986.15
796,56020,2024,0.0
797,56034,2024,781174807.0
798,56044,2024,284640120.84
799,56221,2024,160374950.23
800,56253,2024,0.0
801,56263,2024,16519169.0
802,56273,2024,987414078.0
803,56293,2024,0.0
804,56307,2024,0.0
805,56316,2024,0.0
806,56395,2024,1542462.0
807,56400,2024,0.0
808,56570,2024,0.0
809,56575,2024,5494063.54
810,56600,2024,1462934.0
811,56641,2024,0.0
812,56646,2024,0.0
813,56697,2024,5000595.75
814,56756,2024,104897.5
815,56844,2024,983862.25
816,56940,2024,1820513.4
817,57051,2024,25990.0
818,57113,2024,4446275.1
819,57126,2024,260504.0
820,57165,2024,185847763.34
821,57258,2024,77476.0
822,57302,2024,3549655.0
823,57342,2024,0.0
824,57362,2024,462964.0
825,57380,2024,5259051.05
826,57426,2024,10334335.45
827,57451,2024,443656.0
828,57463,2024,59593.0
829,57465,2024,126000.0
830,57498,2024,7624786.65
831,57500,2024,2825831.6
832,57506,2024,9779374.0
833,57520,2024,955068.47
834,57539,2024,0.0
835,57552,2024,0.0
836,57568,2024,0.0
837,57625,2024,2004132.0
838,57626,2024,174659.4
839,57633,2024,22508013.0
840,57838,2024,0.0
841,57865,2024,13587461.15
842,57933,2024,0.0
843,57939,2024,0.0
844,57949,2024,20225966.75
845,57964,2024,0.0
846,58035,2024,0.0
847,58048,2024,1578430.6
848,58100,2024,48988304.0
849,58168,2024,9837636.3
850,58467,2024,3908338.2
851,58491,2024,0.0
852,58515,2024,206612.0
853,58568,2024,481150.0
854,58603,2024,47952310.0
855,58627,2024,0.0
856,58655,2024,2591510.5
857,58659,2024,0.0
858,58725,2024,8581929.5
859,58802,2024,0.0
860,58809,2024,291820.0
861,58898,2024,298487274.8
862,58901,2024,25004785.35
863,58905,2024,26899262.1
864,58919,2024,0.0
865,59039,2024,5231686.0
866,59104,2024,16870076.75
867,59112,2024,0.0
868,59121,2024,114049.0
869,59122,2024,2834323.45
870,59193,2024,2607.94
871,59209,2024,1295524.0
872,59214,2024,0.0
873,59239,2024,0.0
874,59332,2024,748884.0
875,59390,2024,15297.16
876,59421,2024,197791797.21
877,59489,2024,0.0
878,59501,2024,1025282.0
